timestamp,subject_id,status,pre_threat,cog_load,action
2026-05-25T22:53:00.836850,subj_0,ELEVATED,46.52,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.869061,subj_0,ELEVATED,45.99,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.902582,subj_0,ELEVATED,45.89,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.948523,subj_0,ELEVATED,45.51,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:00.998919,subj_0,ELEVATED,45.03,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:01.044051,subj_0,STRESSED,44.51,100.00,OBSERVE
2026-05-25T22:53:01.094359,subj_0,STRESSED,43.84,100.00,OBSERVE
2026-05-25T22:53:01.138212,subj_0,STRESSED,43.62,100.00,OBSERVE
2026-05-25T22:53:01.183738,subj_0,STRESSED,43.26,100.00,OBSERVE
2026-05-25T22:53:01.232124,subj_0,STRESSED,42.85,100.00,OBSERVE
2026-05-25T22:53:01.280641,subj_0,STRESSED,42.56,100.00,OBSERVE
2026-05-25T22:53:01.324805,subj_0,STRESSED,42.16,100.00,OBSERVE
2026-05-25T22:53:01.377299,subj_0,STRESSED,41.88,100.00,OBSERVE
2026-05-25T22:53:01.420039,subj_0,STRESSED,41.54,100.00,OBSERVE
2026-05-25T22:53:01.473798,subj_0,STRESSED,41.17,100.00,OBSERVE
2026-05-25T22:53:01.515873,subj_0,STRESSED,41.09,100.00,OBSERVE
2026-05-25T22:53:01.557784,subj_0,STRESSED,40.95,100.00,OBSERVE
2026-05-25T22:53:01.591768,subj_0,STRESSED,40.67,100.00,OBSERVE
2026-05-25T22:53:01.640635,subj_0,STRESSED,40.44,100.00,OBSERVE
2026-05-25T22:53:01.684175,subj_0,STRESSED,40.07,100.00,OBSERVE
2026-05-25T22:53:01.737143,subj_0,STRESSED,39.71,100.00,OBSERVE
2026-05-25T22:53:01.780418,subj_0,STRESSED,39.46,100.00,OBSERVE
2026-05-25T22:53:01.825353,subj_0,STRESSED,39.28,100.00,OBSERVE
2026-05-25T22:53:01.874449,subj_0,STRESSED,39.05,100.00,OBSERVE
2026-05-25T22:53:01.920982,subj_0,STRESSED,38.95,100.00,OBSERVE
2026-05-25T22:53:01.966688,subj_0,STRESSED,38.91,100.00,OBSERVE
2026-05-25T22:53:02.016887,subj_0,STRESSED,38.90,100.00,OBSERVE
2026-05-25T22:53:02.060368,subj_0,STRESSED,38.89,100.00,OBSERVE
2026-05-25T22:53:02.108537,subj_0,STRESSED,38.88,100.00,OBSERVE
2026-05-25T22:53:02.154781,subj_0,STRESSED,38.86,100.00,OBSERVE
2026-05-25T22:53:02.200837,subj_0,STRESSED,38.82,100.00,OBSERVE
2026-05-25T22:53:02.249515,subj_0,STRESSED,38.79,100.00,OBSERVE
2026-05-25T22:53:02.292274,subj_0,STRESSED,38.76,100.00,OBSERVE
2026-05-25T22:53:02.322877,subj_0,STRESSED,38.74,100.00,OBSERVE
2026-05-25T22:53:02.364247,subj_0,STRESSED,38.72,100.00,OBSERVE
2026-05-25T22:53:02.405129,subj_0,STRESSED,38.75,100.00,OBSERVE
2026-05-25T22:53:02.457976,subj_0,STRESSED,38.80,100.00,OBSERVE
2026-05-25T22:53:02.499575,subj_0,STRESSED,38.86,100.00,OBSERVE
2026-05-25T22:53:02.548825,subj_0,STRESSED,38.94,100.00,OBSERVE
2026-05-25T22:53:02.594765,subj_0,STRESSED,39.03,100.00,OBSERVE
2026-05-25T22:53:02.644607,subj_0,STRESSED,39.11,100.00,OBSERVE
2026-05-25T22:53:02.692695,subj_0,STRESSED,39.17,100.00,OBSERVE
2026-05-25T22:53:02.736246,subj_0,STRESSED,39.22,100.00,OBSERVE
2026-05-25T22:53:02.770978,subj_0,STRESSED,39.26,100.00,OBSERVE
2026-05-25T22:53:02.816141,subj_0,ELEVATED,66.14,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:02.865143,subj_0,STRESSED,39.37,100.00,OBSERVE
2026-05-25T22:53:02.910250,subj_0,ELEVATED,61.84,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:02.957129,subj_0,STRESSED,39.53,100.00,OBSERVE
2026-05-25T22:53:03.004434,subj_0,ELEVATED,64.58,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:03.045029,subj_0,CRITICAL_THREAT,75.37,100.00,INTERCEPT
2026-05-25T22:53:03.597606,subj_0,STRESSED,39.71,100.00,OBSERVE
2026-05-25T22:53:03.645353,subj_0,STRESSED,39.72,100.00,OBSERVE
2026-05-25T22:53:03.684557,subj_0,STRESSED,39.74,100.00,OBSERVE
2026-05-25T22:53:03.718002,subj_0,STRESSED,39.82,100.00,OBSERVE
2026-05-25T22:53:03.752524,subj_0,ELEVATED,53.70,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:03.797684,subj_0,STRESSED,40.69,100.00,OBSERVE
2026-05-25T22:53:03.850934,subj_0,STRESSED,40.01,100.00,OBSERVE
2026-05-25T22:53:03.893122,subj_0,STRESSED,40.07,100.00,OBSERVE
2026-05-25T22:53:03.942470,subj_0,STRESSED,40.13,100.00,OBSERVE
2026-05-25T22:53:03.986299,subj_0,STRESSED,40.22,100.00,OBSERVE
2026-05-25T22:53:04.037863,subj_0,STRESSED,40.29,100.00,OBSERVE
2026-05-25T22:53:04.083547,subj_0,STRESSED,40.45,100.00,OBSERVE
2026-05-25T22:53:04.128503,subj_0,ELEVATED,57.80,100.00,HEIGHTENED_AWARENESS
2026-05-25T22:53:04.175519,subj_0,CRITICAL_THREAT,79.42,100.00,INTERCEPT
